"ID";"Geslacht";"Persoonskenmerken";"RegioS";"Perioden";"Personen_1";"PersonenMetPersoonlijkInkomen_2";"AandeelPersonen_3";"GemiddeldGestandaardiseerdInkomen_4";"MediaanGestandaardiseerdInkomen_5";"GemiddeldPersoonlijkInkomen_6";"MediaanPersoonlijkInkomen_7"
"695";"T001038";"T009002";"GM1680";"2022JJ00";"25";"21.2";"100";"38.6";"35.9";"36.5";"29.9"
"707";"T001038";"T009002";"GM0358";"2022JJ00";"31.9";"26.1";"100";"44.3";"38.7";"41.7";"32.1"
"719";"T001038";"T009002";"GM0197";"2022JJ00";"26.6";"22.2";"100";"35.9";"33.3";"32.5";"27.4"
"731";"T001038";"T009002";"GM0059";"2022JJ00";"27.6";"22.1";"100";"32.8";"30.8";"30.5";"25.8"
"743";"T001038";"T009002";"GM0482";"2022JJ00";"19.9";"15.7";"100";"37.4";"34.1";"36";"28.5"
"755";"T001038";"T009002";"GM0613";"2022JJ00";"25.2";"20";"100";"43.9";"40.4";"45.3";"36.3"
"767";"T001038";"T009002";"GM0361";"2022JJ00";"109";"90.7";"100";"37";"34.4";"36.9";"30.7"
"779";"T001038";"T009002";"GM0141";"2022JJ00";"71.5";"59.1";"100";"33.3";"30.8";"31.6";"25.8"
"791";"T001038";"T009002";"GM0034";"2022JJ00";"214.3";"169";"100";"36.8";"34.6";"38.2";"32"
"803";"T001038";"T009002";"GM0484";"2022JJ00";"111";"91.1";"100";"39.2";"36.4";"38.7";"32.3"
"815";"T001038";"T009002";"GM1723";"2022JJ00";"10.3";"8.6";"100";"42.5";"38.3";"38.9";"31.8"
"827";"T001038";"T009002";"GM1959";"2022JJ00";"56.1";"45";"100";"40";"35.8";"37.2";"29.7"
"839";"T001038";"T009002";"GM0060";"2022JJ00";"3.7";"3.1";"100";"37.8";"32.9";"33.7";"26.9"
"851";"T001038";"T009002";"GM0307";"2022JJ00";"155.8";"125.7";"100";"40";"36.9";"41.4";"33.7"
"863";"T001038";"T009002";"GM0362";"2022JJ00";"90";"70.3";"100";"45.7";"38.4";"50.6";"34.6"
"875";"T001038";"T009002";"GM0363";"2022JJ00";"874.1";"725.2";"100";"39.7";"31.8";"43.9";"31.2"
"887";"T001038";"T009002";"GM0200";"2022JJ00";"161.1";"133.6";"100";"37.5";"34.4";"36.5";"29.8"
"899";"T001038";"T009002";"GM0202";"2022JJ00";"158.6";"130.9";"100";"34.4";"31.3";"35.6";"28.4"
"911";"T001038";"T009002";"GM0106";"2022JJ00";"66.7";"55.1";"100";"34.4";"32.6";"34.3";"29"
"923";"T001038";"T009002";"GM0743";"2022JJ00";"16.8";"14.1";"100";"38.4";"35.4";"34.8";"28.4"
"935";"T001038";"T009002";"GM0744";"2022JJ00";"6.7";"5.7";"100";"38.1";"35.2";"34.8";"28.2"
"947";"T001038";"T009002";"GM0308";"2022JJ00";"23.7";"19.4";"100";"45.3";"37.4";"45.3";"32.6"
"959";"T001038";"T009002";"GM0489";"2022JJ00";"48.1";"38.4";"100";"43";"39.2";"43.2";"34.2"
"971";"T001038";"T009002";"GM0203";"2022JJ00";"59.6";"45.6";"100";"39.3";"35.4";"36.6";"29.7"
"983";"T001038";"T009002";"GM0888";"2022JJ00";"15.6";"13.3";"100";"37.5";"35";"36.6";"29.6"
"995";"T001038";"T009002";"GM1954";"2022JJ00";"35.3";"29.9";"100";"37.8";"35";"36.6";"29.7"
"1007";"T001038";"T009002";"GM0889";"2022JJ00";"13.3";"11.3";"100";"35.1";"32.9";"32.5";"27"
"1019";"T001038";"T009002";"GM1945";"2022JJ00";"34";"28.9";"100";"37.6";"34.5";"35.4";"28.4"
"1031";"T001038";"T009002";"GM1724";"2022JJ00";"18.7";"15.8";"100";"41.6";"37.1";"37.1";"30.1"
"1043";"T001038";"T009002";"GM0893";"2022JJ00";"12.9";"11.1";"100";"36.1";"34";"33";"27.6"
"1055";"T001038";"T009002";"GM0373";"2022JJ00";"28.8";"24.8";"100";"46.7";"37.8";"41.7";"29.4"
